umap1,umap2,cell_type
15.215252876281738,11.579651832580566,Retinal Ganglion Cell
17.739953994750977,14.258891105651855,Retinal Ganglion Cell
15.184345245361328,11.18025016784668,Retinal Ganglion Cell
17.02916145324707,12.860902786254883,Retinal Ganglion Cell
13.327925682067871,13.09039593,Retinal Ganglion Cell
12.019892692565918,12.587783813476562,Retinal Ganglion Cell
17.17835235595703,11.155900001525879,Retinal Ganglion Cell
14.593064308166504,9.557723999023438,Retinal Ganglion Cell
15.520874977111816,13.492303848266602,Retinal Ganglion Cell
15.421664237976074,9.855394363,Retinal Ganglion Cell
18.21257781982422,14.021554946899414,Retinal Ganglion Cell
17.689125061035156,13.511003494262695,Retinal Ganglion Cell
13.407563209533691,9.525223731994629,Retinal Ganglion Cell
16.786970138549805,12.71744441986084,Retinal Ganglion Cell
12.60836124420166,12.437853813171387,Retinal Ganglion Cell
16.915157318115234,13.633922576904297,Retinal Ganglion Cell
15.792105674743652,12.166691780090332,Retinal Ganglion Cell
11.35538387298584,11.538204193115234,Retinal Ganglion Cell
15.862227439880371,9.928260803222656,Retinal Ganglion Cell
14.627120018005371,11.27956771850586,Retinal Ganglion Cell
15.16015338897705,10.534233093261719,Retinal Ganglion Cell
16.130281448364258,11.475700378417969,Retinal Ganglion Cell
14.651206016540527,7.247804641723633,Retinal Ganglion Cell
15.949884414672852,11.84714126586914,Retinal Ganglion Cell
13.194924354553223,9.335204124450684,Retinal Ganglion Cell
19.058399200439453,10.196890830993652,Retinal Ganglion Cell
16.384939193725586,10.743230819702148,Retinal Ganglion Cell
16.530601501464844,11.426172256469727,Retinal Ganglion Cell
15.647308349609375,13.72478962,Retinal Ganglion Cell
17.96544647216797,14.445982933044434,Retinal Ganglion Cell
17.12335968017578,13.006441116333008,Retinal Ganglion Cell
13.217702865600586,11.155552864074707,Retinal Ganglion Cell
17.223798751831055,13.516846656799316,Retinal Ganglion Cell
12.81018352508545,11.849308967590332,Retinal Ganglion Cell
17.064716339111328,15.20727252960205,Retinal Ganglion Cell
15.643136024475098,11.320697784423828,Retinal Ganglion Cell
15.136655807495117,11.33901596069336,Retinal Ganglion Cell
12.588370323181152,9.388961791992188,Retinal Ganglion Cell
17.762113571166992,13.104581832885742,Retinal Ganglion Cell
15.515028953552246,13.772187232971191,Retinal Ganglion Cell
16.128690719604492,10.54709243774414,Retinal Ganglion Cell
17.700563430786133,13.632001876831055,Retinal Ganglion Cell
17.124311447143555,13.86694336,Retinal Ganglion Cell
13.792054176330566,12.739892959594727,Retinal Ganglion Cell
16.177474975585938,13.68153190612793,Retinal Ganglion Cell
15.060471534729004,10.262701034545898,Retinal Ganglion Cell
14.379270553588867,9.257313728,Retinal Ganglion Cell
18.64074135,9.746767044067383,Retinal Ganglion Cell
13.769767761230469,15.69825553894043,Retinal Ganglion Cell
16.710906982421875,10.358333587646484,Retinal Ganglion Cell
16.289846420288086,11.85281753540039,Retinal Ganglion Cell
17.03253173828125,11.861920356750488,Retinal Ganglion Cell
16.570934295654297,10.770184516906738,Retinal Ganglion Cell
15.04669189453125,7.490941524505615,Retinal Ganglion Cell
17.614294052124023,14.00953197479248,Retinal Ganglion Cell
17.973085403442383,13.847062110900879,Retinal Ganglion Cell
16.653709411621094,14.583976745605469,Retinal Ganglion Cell
16.321531295776367,15.241997718811035,Retinal Ganglion Cell
17.892675399780273,13.33170223236084,Retinal Ganglion Cell
14.49029827,14.539997100830078,Retinal Ganglion Cell
13.524296760559082,13.098090171813965,Retinal Ganglion Cell
13.25196361541748,9.817457199,Retinal Ganglion Cell
